,GAME_DATE,Player_Name,MATCHUP,PTS_PROP,REB_PROP,AST_PROP,BLK_PROP,STL_PROP,3PTS_PROP,PRA_PROP,PR_PROP,PA_PROP,RA_PROP,Player_ID,SEASON_ID
86,2022-02-06,Trae Young,ATL @ DAL,28.5,3.5,9.5,0.5,0.5,,,,,,1629027.0,22021
87,2022-02-06,Jalen Green,HOU vs. NOR,14.5,3.5,2.5,0.5,0.5,1.5,,,,,1630224.0,22021
88,2022-02-06,James Johnson,BKN @ DEN,8.5,5.5,3.5,,,,,,,,201949.0,22021
89,2022-02-06,Mo Bamba,ORL vs. BOS,8.5,,0.5,1.5,0.5,,,,,,1628964.0,22021
90,2022-02-06,Eric Gordon,HOU vs. NOR,12.5,2.5,2.5,0.5,,1.5,,,,,201569.0,22021
91,2022-02-06,Brandon Ingram,NOR @ HOU,23.5,5.5,,,0.5,1.5,,,,,1627742.0,22021
92,2022-02-06,Jrue Holiday,MIL @ LAC,15.5,4.5,,,1.5,1.5,,,,,201950.0,22021
93,2022-02-06,Danilo Gallinari,ATL @ DAL,8.5,3.5,1.5,0.5,0.5,,,,,,201568.0,22021
94,2022-02-06,Chris Duarte,IND @ CLE,14.5,3.5,2.5,0.5,1.5,,,,,,1630537.0,22021
95,2022-02-06,Dwight Powell,DAL vs. ATL,9.5,5.5,1.5,0.5,0.5,,,,,,203939.0,22021
96,2022-02-06,Josh Hart,NOR @ HOU,14.5,8.5,3.5,,,,,,,,1628404.0,22021
97,2022-02-06,Clint Capela,ATL @ DAL,9.5,11.5,1.5,,,,,,,,203991.0,22021
98,2022-02-06,Tyrese Maxey,PHI @ CHI,16.5,3.5,,0.5,0.5,1.5,,,,,1630178.0,22021
99,2022-02-06,Aaron Gordon,DEN vs. BKN,15.5,4.5,2.5,0.5,0.5,1.5,,,,,203932.0,22021
100,2022-02-06,Saddiq Bey,DET @ MIN,17.5,,3.5,0.5,0.5,2.5,,,,,1630180.0,22021
101,2022-02-06,Kessler Edwards,BKN @ DEN,7.5,4.5,0.5,,,,,,,,1630556.0,22021
102,2022-02-06,Patrick Beverley,MIN vs. DET,9.5,4.5,,0.5,0.5,1.5,,,,,201976.0,22021
103,2022-02-06,Torrey Craig,IND @ CLE,10.5,4.5,1.5,,0.5,,,,,,1628470.0,22021
104,2022-02-06,Giannis Antetokounmpo,MIL @ LAC,28.5,10.5,5.5,1.5,0.5,1.5,,,,,203507.0,22021
105,2022-02-06,Robert Williams III,BOS @ ORL,9.5,9.5,2.5,2.5,0.5,,,,,,1629057.0,22021
106,2022-02-06,Garrison Mathews,HOU vs. NOR,11.5,2.5,0.5,0.5,0.5,,,,,,1629726.0,22021
