,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,Player_Name,POS,TEAM,Off_Days,TEAM_ID
34,22020,1630173,0022000557,2021-03-04,MIA @ NOP,W,16,4,8,0.5,0,0,0.0,0,0,0.0,2,3,5,0,1,0,0,0,8,-3,1,Precious Achiuwa,Forward,MIA,2,1610612748
35,22020,1630173,0022000571,2021-03-11,MIA vs. ORL,W,5,1,1,1.0,0,0,0.0,0,2,0.0,1,1,2,0,0,0,1,0,2,-5,1,Precious Achiuwa,Forward,MIA,7,1610612748
36,22020,1630173,0022000582,2021-03-12,MIA @ CHI,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,-1,1,Precious Achiuwa,Forward,MIA,1,1610612748
37,22020,1630173,0022000596,2021-03-14,MIA @ ORL,W,12,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,4,2,-1,1,Precious Achiuwa,Forward,MIA,2,1610612748
38,22020,1630173,0022000623,2021-03-17,MIA @ MEM,L,10,1,5,0.2,0,0,0.0,0,2,0.0,2,3,5,0,0,0,0,0,2,-17,1,Precious Achiuwa,Forward,MIA,3,1610612748
39,22020,1630173,0022000632,2021-03-19,MIA vs. IND,L,4,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,4,-1,1,Precious Achiuwa,Forward,MIA,2,1610612748
40,22020,1630173,0022000645,2021-03-21,MIA vs. IND,L,3,0,2,0.0,0,0,0.0,0,2,0.0,1,0,1,0,0,0,0,1,0,-10,1,Precious Achiuwa,Forward,MIA,2,1610612748
41,22020,1630173,0022000664,2021-03-23,MIA vs. PHX,L,13,3,4,0.75,0,0,0.0,3,4,0.75,2,1,3,1,0,0,0,0,9,9,1,Precious Achiuwa,Forward,MIA,2,1610612748
42,22020,1630173,0022000678,2021-03-25,MIA vs. POR,L,14,1,4,0.25,0,0,0.0,0,0,0.0,0,1,1,0,0,1,2,1,2,-9,1,Precious Achiuwa,Forward,MIA,2,1610612748
43,22020,1630173,0022000686,2021-03-26,MIA @ CHA,L,11,2,4,0.5,0,0,0.0,0,3,0.0,2,3,5,2,0,1,0,1,4,-3,1,Precious Achiuwa,Forward,MIA,1,1610612748
44,22020,1630173,0022000710,2021-03-29,MIA @ NYK,W,11,1,3,0.333,0,0,0.0,0,0,0.0,1,2,3,1,0,1,1,5,2,0,1,Precious Achiuwa,Forward,MIA,3,1610612748
45,22020,1630173,0022000722,2021-03-31,MIA @ IND,W,8,1,2,0.5,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,2,2,-13,1,Precious Achiuwa,Forward,MIA,2,1610612748
46,22020,1630173,0022000749,2021-04-03,MIA vs. CLE,W,9,3,3,1.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,1,0,6,-3,1,Precious Achiuwa,Forward,MIA,3,1610612748
47,22020,1630173,0022000773,2021-04-06,MIA vs. MEM,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,5,1,Precious Achiuwa,Forward,MIA,3,1610612748
48,22020,1630173,0022000784,2021-04-08,MIA vs. LAL,W,9,2,7,0.286,0,0,0.0,3,5,0.6,4,1,5,0,1,1,0,4,7,3,1,Precious Achiuwa,Forward,MIA,2,1610612748
49,22020,1630173,0022000814,2021-04-11,MIA @ POR,W,13,1,3,0.333,0,0,0.0,0,0,0.0,3,1,4,0,0,1,0,3,2,10,1,Precious Achiuwa,Forward,MIA,3,1610612748
50,22020,1630173,0022000827,2021-04-13,MIA @ PHX,L,9,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,2,2,-14,1,Precious Achiuwa,Forward,MIA,2,1610612748
51,22020,1630173,0022000838,2021-04-14,MIA @ DEN,L,11,2,3,0.667,0,0,0.0,2,2,1.0,0,2,2,1,0,0,0,0,6,-5,1,Precious Achiuwa,Forward,MIA,1,1610612748
52,22020,1630173,0022000852,2021-04-16,MIA @ MIN,L,15,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,2,0,-2,1,Precious Achiuwa,Forward,MIA,2,1610612748
53,22020,1630173,0022000871,2021-04-19,MIA vs. HOU,W,29,4,11,0.364,0,0,0.0,0,0,0.0,3,8,11,0,1,0,3,5,8,-1,1,Precious Achiuwa,Forward,MIA,3,1610612748
54,22020,1630173,0022000888,2021-04-21,MIA @ SAS,W,2,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,2,1,Precious Achiuwa,Forward,MIA,2,1610612748
55,22020,1630173,0022000960,2021-05-01,MIA @ CLE,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,Precious Achiuwa,Forward,MIA,10,1610612748
56,22020,1630173,0022000969,2021-05-02,MIA @ CHA,W,1,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3,1,Precious Achiuwa,Forward,MIA,1,1610612748
